ligand_id	smiles	cluster
003	CC(C)CN1c2c(c(n(n2)Cc3cccc4c3cccc4)c5ccncc5)C(=O)N(C1=O)C	1376
004	c1ccc(cc1)[C@@H](C(=O)O)N	19
006	Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C	125
007	c1ccc(cc1)C2(CCCC2)CN	6083
008	c1ccc2c(c1)C[C@H](N(C2)C(=O)C[C@@H](Cc3ccccc3F)N)C(=O)N	6082
009	CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@]3(CN(C(=O)N3)Cc4ccccc4)Cc5ccccc5)O	1813
00C	C([C@H](C(=O)O)N)S(=O)(=O)O	1
00S	[H]/N=C(/c1ccc(cc1)CN)\N	177
010	c1ccc(cc1)CO	56
012	CN(C)c1cccc(c1)CNC[C@H]([C@H](Cc2ccccc2)NC(=O)[C@@H]3CN(C(=O)N3)Cc4cccc(c4)OC)O	1813
014	c1c2c(cc(c1F)Cl)nc([nH]2)n3cc(cn3)C(=O)O	6081
017	CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N	8
01P	COc1cc(ccc1N2CCOCC2)Nc3nccc(n3)Nc4cc5ccccc5nc4	6080
01T	CCc1c(c(c(c(n1)CC(C)(C)C)CN)c2ccc(cc2)C)CC(=O)O	6079
022	Cc1cc(ccc1n2c(ccc2c3ccc(cc3)n4ccnc4)CCC(=O)O)C(=O)N	6078
023	C[C@@H]([C@@H](CCCc1ccccc1)C(=O)N[C@H](C(=O)NC)C(C)(C)C)N(C=O)O	6077
024	c1cc(cc(c1)NC2CCCCC2)c3c(c(c(s3)C(=O)O)OCC(=O)O)Br	221
028	CCCCCCC(O)(P(=O)(O)O)P(=O)(O)O	149
02A	C1CN[C@@H]1C(=O)O	85
02N	Cc1ccc(cc1)CN	177
031	COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O	8
032	CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c2c[nH]c3c2cc(cn3)c4ccc(cc4)Cl)F	877
033	CC(C)[C@@H](C(=O)O)NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)NC(=O)c3cc4ccccc4o3	6076
034	CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(cc3)c4ccc5c(c4)cc([nH]5)C(=O)O	77
038	CC(C)C[C@@H](C(=O)NC[C@](CCc1ccccc1)(C(=O)Nc2cccc(c2)C(=O)O)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CNC(=O)c3[nH]nnn3)N	6075
039	COc1ccccc1N2C(=Nc3cccc(c3C2=O)Cl)CSc4c5c([nH]cn5)ncn4	6074
03B	Cc1c(c(c(n1C)c2ccc(cc2)Cl)c3cccc(c3)N4CCN(CC4)c5ccc(cc5)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])N[C@H](CCN(C)C)CSc7ccccc7)C(=O)O	152
03G	CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C	6073
03I	C[C@@](CCc1ccc(cc1)c2ccc(cc2)OCCCN3CCOCC3)(C(=O)NO)S(=O)(=O)C	1264
03K	c1cc(ccc1C(=O)N)C(=O)Nc2cc([nH]n2)C3CC3	6072
03M	Cc1c(ccc2c1[nH]cc2/C=C\3/C(=O)N(C(=O)N3)Cc4ccc(c(c4)F)F)Cl	6071
03P	CC(C)(CC(=O)NCCn1ccc2c1c(ncn2)Nc3ccc(c(c3)Cl)Oc4cccc(c4)C(F)(F)F)O	593
03Q	c1cc(cc(c1)Oc2c(cc(cn2)Nc3c4c(ccn4CCOCCO)ncn3)Cl)C(F)(F)F	593
03R	[H]/N=C(/c1cccc(c1)Oc2c(c(c(c(n2)Oc3ccccc3C(=O)O)F)N[C@@H](C)CCc4ccccc4)F)\N	1463
03T	c1ccc2c(c1)cc(s2)S(=O)(=O)N	6070
03V	c1ccc2cc(ccc2c1)O	6069
03X	CC1=C(C(=O)N(N1C)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4cc(c(c5)OC)OC	124
040	Cc1ccccc1C(=O)CC(=O)C(=O)O	1430
041	C=Cc1cc(cc2c1oc(n2)c3ccc(c(c3)F)O)O	6068
043	c1cc(cc(c1)Br)C(=O)CC(=O)C(=O)O	1017
044	CC1=C(C(=O)N(N1C[C@@H](C)O)c2ccccc2)C(=O)Nc3ccc(c(c3)F)Oc4ccnc5c4ccc(c5)OC	124
047	Cc1ccc(cc1)n2cc(c3c2cccc3)CNCC4CCCCC4	6067
048	c1ccc(cc1)C(=O)Nc2cc(ccc2F)Nc3ccc4c(c3)CCCCC4=O	347
04A	c1ccc(cc1)CC(=O)Nc2nnc(s2)CCSCCc3nnc(s3)NC(=O)Cc4ccccc4	6066
04G	c1cc2c(cc1O)OC3=CC(=O)C=CC3=N2	6065
04J	c1cc(ccc1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCc2cnc3c(n2)c(nc(n3)N)N	171
04M	CCCCCCCCOc1cccc(c1)COc2ccc(cc2C(=O)O)S(=O)(=O)N3CCOCC3	6064
04T	CC(=O)Nc1ccc(cc1)Nc2ccc(cc2[N+](=O)[O-])S(=O)(=O)C	6063
057	CC(C)(CO)NC(=O)c1ccc2c(c1)c(cn2C)c3cc4cccnc4[nH]3	6062
05B	c1cc2c(cc1c3nccc(n3)c4cc5c([nH]4)C6(CCNCC6)CNC5=O)OCO2	6061
05R	c1cc(c(cc1CC(=O)O)Cl)Cl	255
05S	Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H](CNCCC2)C)C(=O)N	958
061	CCCCC1=Nc2ccc(cc2C(=O)N1Cc3ccc(cc3)c4ccccc4c5[nH]nnn5)O	1288
064	CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc(c(c3)Cl)\C=C\c4cccc(c4)C(=O)O	77
066	Cc1cc(cc2c1ncc(c2Nc3cccc(c3)OC)C(=O)N)S(=O)(=O)c4cccc(c4)C(=O)N(C)C	1197
068	CC(=O)c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O	1075
069	c1cc(cc(c1)O)C(=O)NO	988
06J	Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)NC[C@H]5CCCN5CCC2)C(=O)N	958
06R	c1ccc2c(c1)C(=O)NC(=N2)c3ccc(cc3)C(F)(F)F	35
06T	Cc1c2n(c3c1C(=O)CC(C3)(C)C)-c4ccc(c(c4)N[C@H]([C@@H](CN(CC2)C(=O)[C@H](C)N)C)C)C(=O)N	958
06U	CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)c3ccncc3	45
06V	CCc1c(c(nc(n1)N)N)C#C[C@H](C)c2cc(cc(c2)OC)N3CCOCC3	45
06X	CCOC(=O)C1=C(NC(=C(C1c2ccccc2Cl)C(=O)OC)C)COCCN	1675
071	Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cc(ccc4OC)N5CCN(CC5)C	475
073	COC(=O)c1ccc(cc1)[C@@](C\C=C\c2ccccc2)(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)n4c5ccccc5nn4	148
077	c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O	1075
07J	CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl	6060
07L	c1cc2c(cc1O)OC(=O)C=C2	592
07N	Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C[C@@H]2F)c3ncc(s3)C(=O)O)Cl)Cl	6059
07Q	C[C@H](c1cccc(c1)OC)NC(=O)Nc2nc(cs2)c3ccncc3	355
07R	c1cc(cc(c1)O)CNC(=O)Nc2nc(cs2)c3ccncc3	355
07S	c1cc(cnc1)c2cnc(s2)Nc3cc(ccn3)N4CCN(CC4)CC(=O)N5CCOCC5	1210
07U	CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N	6058
084	C[C@@H](c1ccccc1)Nc2nccc(n2)c3c(nc(n3C)C4CCNCC4)c5cccc(c5)C(F)(F)F	6057
085	c1ccnc(c1)c2c([nH]c(n2)c3ccc(cc3)C(=O)N)c4ccc5c(c4)OCO5	6056
087	Cc1c(c(c([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(n3)Cl)C(=O)N)Cl)Cl	6055
088	CC(C)c1c(c(no1)c2c(cccc2Cl)Cl)COc3ccc4c(c3)ccn4Cc5cccc(c5)C(=O)O	77
08C	COc1ccc(cc1)C2=Nc3ccccc3C(=O)N2	35
08D	Cc1cc(no1)NS(=O)(=O)c2ccc(cc2)N	73
08H	Cc1nnc2n1-c3ccc(cc3C(=NC2)c4ccccc4)Cl	1521
08J	Cc1ncc2n1-c3ccc(cc3C(=NC2)c4ccccc4F)Cl	6054
08K	Cc1nnc2n1-c3ccc(cc3C(=NN2C)c4ccccc4)Cl	6053
08R	Cc1cc(nc(c1)N)C[C@H]2CNC[C@H]2OCCNCc3ccccc3OC	6
08Y	CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5Cc6c7c(cccc7[nH]c6Br)C5=C4)C)O	6052
091	c1ccc2c(c1)[C@]3(CCNC3)C(=O)N2	6051
092	COC(=O)[C@H]1C[C@@]2(CN1)c3ccccc3NC2=O	241
093	CC1=C(SC(=NC(=O)C)N1)c2ccc(c(c2)S(=O)(=O)NCCO)Cl	6050
094	c1cc(c(c(c1)Cl)N2c3cc(c(nc3CNC2=O)Sc4ccc(cc4F)F)C5=CCNCC5)Cl	6049
095	c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OC4CCOCC4)C(=O)N2	241
097	CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@H](C(=O)NC)C(C)(C)C	6048
098	c1ccc2c(c1)C[C@H]([C@H]2NC(=O)[C@H](Cc3cccc(c3)O)[C@@H](C(=O)NO)NCC4CC4)O	2214
099	c1ccc2c(c1)C[C@H]([C@H]2NC(=O)[C@H](Cc3cccc(c3)O)CC(=O)NO)O	383
09A	c1ccc(cc1)COC(=O)[C@H]2C[C@@]3(CN2)c4ccccc4NC3=O	241
09B	c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OCc4ccc(cc4)C#N)C(=O)N2	241
09C	c1cc2c(cc1Br)[nH]cc2[C@H]3C(=O)NCC(N3)c4c[nH]c5c4ccc(c5)Br	6047
09F	c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OC4(CCCCC4)C#N)C(=O)N2	241
09G	c1ccc2c(c1)[C@]3(C[C@@H](NC3)C(=O)OCc4ccc(c(c4)Br)C#N)C(=O)N2	241
09H	c1ccc(c(c1)NC(=O)c2csc(n2)c3ccc4c(c3)CCO4)N5CCNCC5	1794
09I	[H]/N=C(/N)\NC(=O)c1c(nc(c(n1)c2cc3c(o2)cccc3F)N4CCCCCC4)N	108
09J	CCN1C(=O)C(=Cc2n1c(nn2)c3c(cccc3Cl)F)c4cc(ccc4C)C(=O)NC5CC5	6046
09K	c1cc(ccc1CC(=O)Nc2cc(n[nH]2)C3CC3)OC(F)(F)F	940
09L	c1ccc2c(c1)C(=NNC2=O)Cc3ccc(c(c3)C(=O)N4CCN(CC4)C(=O)C5CC5)F	789
09O	c1cc(cnc1)N2CCCNCC2	366
09P	CCOc1cc(cnc1)N2CCCNCC2	366
09Q	c1ccc(cc1)c2cc(cnc2)N3CCCNCC3	366
09R	c1cc(ncc1N2CCCNCC2)Br	366
09S	CCOc1cc(cnc1Br)N2CCCNCC2	366
09T	Cc1cc2c(cc1C)n(cn2)Cc3ccc(c(c3)Cl)Cl	6045
0A9	COC(=O)[C@H](Cc1ccccc1)N	7
0AS	C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(C[C@H]([C@@H]([C@@]5(C)CO)O)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O	857
0B1	CN1C(=O)C=C(N=C1N)[C@H]2C[C@H]2c3cccc(c3)c4cccc(c4)OC	860
0B3	C[C@]1(CC(=O)N(C(=N1)N)C)CCc2ccccc2	526
0B5	C[C@]1([C@H]([C@H](OC(=N1)N)C(C)(F)F)F)c2cc(ccc2F)NC(=O)c3cnc(cn3)OCF	1006
0B6	C[C@]1(C=C(OC(=N1)N)CF)c2cc(ccc2F)NC(=O)c3ccc(cn3)C#N	24
0BB	Cc1cccc2c1c(cs2)CN3c4ccccc4N(C3=O)CCCC(=O)O	1378
0BC	CCOc1ccc(cc1NC(=O)c2cc(cc(c2)c3n[nH]nn3)c4cscn4)C(=O)C	703
0BI	CC(C)c1cccc(c1)C2(CC2)NC[C@H]([C@@H]3Cc4cccc(c4)OCCCCNc5cc(cc(c5)C(=O)N3)COC)O	6044
0BM	[H]/N=C(\N)/N1CCC(CC1)CNC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc3ccccc3)NS(=O)(=O)C	1039
0BP	c1ccnc(c1)c2ccccn2	591
0BW	CN1CCN(CC1)c2ccc(cc2NC(=O)c3cccc(c3)OC)C(=O)OC	6043
0BX	c1ccc(cc1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O	36
0BY	c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)Cl	36
0BZ	c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)F	36
0C0	c1ccc(cc1)c2ccccc2Nc3ccnc(n3)Nc4ccc(cc4)C(=O)O	36
0C3	c1ccc(c(c1)C(F)(F)F)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O	36
0C4	c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)Br	36
0C5	c1ccc(c(c1)C#N)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O	36
0C6	c1ccc(c(c1)Nc2c(cnc(n2)Nc3ccc(cc3)C(=O)O)F)Cl	624
0C7	c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)c4[nH]nnn4)Cl	1958
0C8	c1ccc(c(c1)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O)OC(F)(F)F	36
0C9	c1ccc(c(c1)C(=O)O)Nc2ccnc(n2)Nc3ccc(cc3)C(=O)O	36
0CB	[H]/N=C(\C)/N1CCC(CC1)Oc2ccc(cc2)N(Cc3ccc4ccc(cc4c3)/C(=N\[H])/N)S(=O)(=O)CC(=O)O	1523
0CK	c1cc(ccc1c2c(n(cn2)C3CCCCC3)c4ccnc(n4)N)F	142
0CP	COc1ccc(cc1O[C@H]2C[C@@H]3CC[C@H]2C3)C4CNC(=O)NC4	6042
0CT	c1ccc2c(c1)[nH]nn2	6041
0CV	Cc1cc(cc2c1nc3c(c2N4CCNCC4)c(n[nH]3)C)OC	6040
0DF	CN1c2cc(cnc2NC1=O)c3ccccc3	1812
0DI	c1cc(cc(c1)Cl)C[C@H](C(=O)N2CCN(CC2)C(=O)c3cc(ccc3F)F)N	6039
0DJ	CN1c2cc(cnc2NC1=O)c3cccc(c3)C(=O)N	1812
0DQ	c1ccc(cc1)c2c(snn2)N	6038
0DS	CC(C)C[C@H](CC(=O)NO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N	123
0DU	CC1=CC(=C(C(=O)N1C)c2ccc(cc2)C[C@@H](C(=O)O)NC(=O)c3c(cccc3Cl)Cl)C(F)(F)F	6037
0DV	C[C@@H]1[C@@H]\2CC[C@@H](/C2=C/[C@]3(CCC(=C3[C@H]([C@@H]1O)O[C@@H]4[C@@H]([C@@H]([C@H]([C@H](O4)CO)O)O)O)C(C)C)C)CO	1802
0E8	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](CNC[C@H]([C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)O)O	381
0EC	COc1cc2c(cc1OC)nc(nc2N)N3CCNCC3	671
0EN	CC(C)(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NC(C)(C)C)C(=O)c3ccco3	678
0EU	CCNC(=O)Nc1c(c2ccccc2s1)C(=O)N3CCC(CC3)[N@]4CCC[C@@]5(C4)CC(OC5=O)(C)C	6036
0F1	c1cc2c(cc1Cl)sc(c2Cl)C(=O)O	6035
0F2	CCC(CC)(c1cc2c(cc([nH]2)c3c4c(ccs4)[nH]n3)c(c1)OCCN5CCOCC5)O	6034
0F3	c1cc(ccc1NS(=O)(=O)N)S(=O)(=O)N	2213
0F4	c1cc(cc(c1)NC(=O)Nc2cccc(c2)Nc3ccc\4c(c3)NC(=O)/C4=C\c5ccc[nH]5)C(F)(F)F	6033
0F9	c1cc(c(cc1Cl)c2cc[nH]n2)O	6032
0FA	CC(C)C[C@@H](C(=O)N)NP(=O)(O)O	6031
0FK	c1cc2ccc(nc2c(c1)O)C(=O)N	1062
0FN	c1ccc2c(c1)C(=O)C(C2=O)C#N	6030
0FO	c1cc2c(cc1Br)C(=CC(=O)O2)O	2212
0FR	c1ccc2c(c1)c(c[nH]2)C(=O)c3ccco3	617
0FS	c1cc(cc(c1)C(F)(F)F)/C=C\2/C(=O)NC(=O)S2	6029
0FW	c1ccc(cc1)c2ccc(cc2)C(=O)Nc3cccc(c3)Oc4ccc(c(c4)C(=O)O)C(=O)O	6028
0FZ	COc1ccc2c(c1)CCN=C2c3ccc(cc3)S(=O)(=O)N	6027
0G1	CCC(CC)(c1ccc2c(c1)[nH]c(c2c3ccc(cc3)OC)c4c5c(ccs5)[nH]n4)O	6026
0G7	[H]/N=C(\N)/NCCC[C@@H](C(=O)CCl)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc2ccccc2)N	87
0GH	C[C@H](c1ccccc1)NC(=O)c2cc(cc(c2)N(C)S(=O)(=O)C)C(=O)N[C@@H](Cc3ccccc3)CN[C@@H]([C@@H](C)O)C(=O)NCC(C)C	42
0GO	CCCN1CCC[C@@]12CCN(C2=O)[C@@H](C)C(=O)N[C@@H](Cc3ccccc3)[C@@H](CNCc4cccc(c4)C(C)C)O	6025
0GQ	CC[C@H](C)[C@@H](C(=O)NCc1cnc(nc1N)C)NC(=O)C[C@@H]([C@H](CC2CCCCC2)NC(=O)CCNC(=O)[C@H](Cc3ccccc3)NC(=O)N4CCC(CC4)N)O	6024
0GS	CC(c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3cc(c(c(c3)Br)N)F)(F)F	113
0GT	CC(C)(C)c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3ccc4c(c3)c(c[nH]4)CC(F)F	113
0GU	CC(C)(C)c1cccc(c1)CN[C@H]2CS(=O)(=O)C[C@H]([C@@H]2O)Cc3cc4c(c(c3)F)NCC45CCC(CC5)(F)F	113
0GV	C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C(=O)C=C4[C@@]3(CC[C@@H](C4)O)C)C	32
0H3	CCCOCCN1c2cc(ncc2C(=NC1=O)NCCOC(C)C)c3ccc(nc3)OC	718
0H6	c1cc(ncc1C(=O)O)NC(=O)[C@H](CC2CCCC2)n3cc(nc3)C(F)(F)F	6023
0HD	c1ccc(cc1)CCNC(=O)Nc2ccc3c(c2)cn[nH]3	6022
0HK	C[N+]1([C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)C(c4cccs4)(c5cccs5)O)C	6021
0HV	c1ccc2c(c1)c(ccc2[N+](=O)[O-])Nc3cccc(c3)C(=O)O	6020
0IV	[H]/N=C(\N)/N1CCC[C@@H](C1)C[C@@H](C=O)NC(=O)CN2CCC[C@@H](C2=O)NS(=O)(=O)Cc3ccccc3	1810
0J0	CN1c2ccccc2C(=CC1=O)OCc3cn(nn3)C4C[C@H]5CC[C@@H](C4)[N+]5(C)C	6019
0J3	CN1CCN(CC1)c2cc3c(cc(cc3NCc4cccc(c4)[N+](=O)[O-])C(F)(F)F)nc2	6018
0J8	c1cc(cc(c1)[N+](=O)[O-])CNc2c3cc(cnc3nc(n2)C(F)(F)F)c4cnn(c4)C5CCNCC5	6017
0J9	CC(C)(C)n1c2c(c(n1)c3cccc4c3cccc4)c(ncn2)N	122
0JF	Cc1ccc(cc1)CNC(=O)[C@H]2CCCN(C2)c3ccnc(n3)Nc4cc(c(c(c4)OC)OC)OC	1299
