template_interface	ligand_1	ligand_2	cluster_representatives	target_interface
5LDH_A_B	CIT		 4QT0_A_B	6SBV_A_B,6SBU_A_B,6SBV_G_H,6SBU_C_D,6SBV_C_D,6SBU_E_F,6SBU_G_H,6SBV_E_F,6K13_A_B,1I0Z_A_B,1T2F_C_D,1T2F_A_B,5YTA_A_B,6CEP_C_D,6CEP_A_B,5K0Z_C_D,5K0Z_A_B,4QT0_A_B,4OJN_C_D,4QT0_E_F,4OJN_G_H,4OKN_E_F,4QSM_A_B,4QSM_C_D,4QSM_E_F,4OKN_C_D,4OJN_A_B,4OKN_A_B,4AJP_C_D,4OJN_E_F,4OKN_G_H,4QSM_G_H,4QT0_C_D,4AJP_A_B,4QT0_G_H,6K12_D_E,5W8J_A_B,5W8H_C_D,6MVA_A_B,6MV8_C_D,5W8L_A_C,5W8I_A_B,6Q0D_A_B,6Q13_A_C,6Q0D_C_D,4ZVV_C_D,6MVA_C_D,5W8H_A_B,6K12_B_C,6MV8_A_B,5W8K_C_D,5W8J_C_D,4ZVV_A_B,5W8K_A_B,5W8I_C_D,6BB1_G_H,6BB3_C_D,4I9N_F_H,4AJ2_A_B,6BB2_G_H,6BB2_C_D,6BB3_A_B,5ES3_E_H,4AJI_A_B,1I10_A_B,4I9N_E_G,4AJK_A_B,5ES3_B_C,6BAX_C_D,4I9N_A_C,1I10_G_H,4I8X_B_D,4AJ2_C_D,4AJO_C_D,4AJO_A_B,5KKC_A_C,4AJE_C_D,6BB1_E_F,4R69_A_B,3H3F_C_D,4QO8_C_D,4AJJ_C_D,6BB2_A_B,4RLS_C_D,4I9H_A_C,5ES3_A_D,4AJI_C_D,4M49_A_B,4AJK_C_D,4JNK_C_D,4R69_C_D,4AJL_A_B,4I8X_A_C,6BB1_C_D,4AJH_C_D,6BB0_C_D,4RLS_A_B,4AL4_A_B,4R68_A_B,4QO8_A_B,4AJL_C_D,4I9H_F_H,5IXS_C_D,4I9H_E_G,4M49_C_D,4QO7_A_B,4I9U_B_D,6BAZ_C_D,6BAX_A_B,4I8X_E_G,4AJN_A_B,4I9U_F_H,4JNK_A_B,5IXS_A_B,3H3F_A_B,4I9U_E_G,4I9N_B_D,3H3F_E_F,4AJH_A_B,4AL4_C_D,5IXY_A_B,6BAD_C_D,4AJE_A_B,3H3F_G_H,4R68_C_D,6BAD_A_B,6BAZ_A_B,4I9U_A_C,4I9H_B_D,5IXY_C_D,4AJJ_A_B,4AJ1_C_D,4AJN_C_D,6BAG_A_B,6BB2_E_F,1I10_C_D,4AJ1_A_B,6BAG_C_D,6BB1_A_B,5KKC_B_D,4I8X_F_H,5ES3_F_G,1I10_E_F,4QO7_C_D,6BB0_A_B,6ZZR_EEE_GGG,6ZZR_AAA_BBB,6ZZR_FFF_HHH,6ZZR_CCC_DDD,2LDX_B_D,2LDX_A_C,5NQB_A_B,5NQB_C_D,6P6U_F_G,4AJ4_A_B,6P6U_B_C,5NQQ_C_D,6P6U_N_O,6P6U_M_P,4AJ4_C_D,9LDB_A_B,6P6U_E_H,9LDT_A_B,5NQQ_A_B,6P6U_A_D,6P6U_J_K,6P6U_I_L,4L4R_A_H,4L4S_A_H,5ZJF_E_F,5ZJF_G_H,5ZJD_G_H,5ZJE_C_D,5ZJF_C_D,5ZJF_K_L,5ZJE_I_J,5ZJE_G_H,5ZJD_C_D,5ZJD_E_F,5ZJE_A_B,5ZJE_K_L,5ZJD_A_B,5ZJE_E_F,5ZJF_A_B,5ZJF_I_J
4AJ2_A_B	GOL	GOL	 4QT0_A_B	6SBV_A_B,6SBU_A_B,6SBV_G_H,6SBU_C_D,6SBV_C_D,6SBU_E_F,6SBU_G_H,6SBV_E_F,6K13_A_B,1I0Z_A_B,1T2F_C_D,1T2F_A_B,5YTA_A_B,6CEP_C_D,5LDH_A_B,6CEP_A_B,5K0Z_C_D,5K0Z_A_B,4QT0_A_B,4OJN_C_D,4QT0_E_F,4OJN_G_H,4OKN_E_F,4QSM_A_B,4QSM_C_D,4QSM_E_F,4OKN_C_D,4OJN_A_B,4OKN_A_B,4AJP_C_D,4OJN_E_F,4OKN_G_H,4QSM_G_H,4QT0_C_D,4AJP_A_B,4QT0_G_H,6K12_D_E,5W8J_A_B,5W8H_C_D,6MVA_A_B,6MV8_C_D,5W8L_A_C,5W8I_A_B,6Q0D_A_B,6Q13_A_C,6Q0D_C_D,4ZVV_C_D,6MVA_C_D,5W8H_A_B,6K12_B_C,6MV8_A_B,5W8K_C_D,5W8J_C_D,4ZVV_A_B,5W8K_A_B,5W8I_C_D,6BB1_G_H,6BB3_C_D,4I9N_F_H,6BB2_G_H,6BB2_C_D,6BB3_A_B,5ES3_E_H,4AJI_A_B,1I10_A_B,4I9N_E_G,4AJK_A_B,5ES3_B_C,6BAX_C_D,4I9N_A_C,1I10_G_H,4I8X_B_D,4AJ2_C_D,4AJO_C_D,4AJO_A_B,5KKC_A_C,4AJE_C_D,6BB1_E_F,4R69_A_B,3H3F_C_D,4QO8_C_D,4AJJ_C_D,6BB2_A_B,4RLS_C_D,4I9H_A_C,5ES3_A_D,4AJI_C_D,4M49_A_B,4AJK_C_D,4JNK_C_D,4R69_C_D,4AJL_A_B,4I8X_A_C,6BB1_C_D,4AJH_C_D,6BB0_C_D,4RLS_A_B,4AL4_A_B,4R68_A_B,4QO8_A_B,4AJL_C_D,4I9H_F_H,5IXS_C_D,4I9H_E_G,4M49_C_D,4QO7_A_B,4I9U_B_D,6BAZ_C_D,6BAX_A_B,4I8X_E_G,4AJN_A_B,4I9U_F_H,4JNK_A_B,5IXS_A_B,3H3F_A_B,4I9U_E_G,4I9N_B_D,3H3F_E_F,4AJH_A_B,4AL4_C_D,5IXY_A_B,6BAD_C_D,4AJE_A_B,3H3F_G_H,4R68_C_D,6BAD_A_B,6BAZ_A_B,4I9U_A_C,4I9H_B_D,5IXY_C_D,4AJJ_A_B,4AJ1_C_D,4AJN_C_D,6BAG_A_B,6BB2_E_F,1I10_C_D,4AJ1_A_B,6BAG_C_D,6BB1_A_B,5KKC_B_D,4I8X_F_H,5ES3_F_G,1I10_E_F,4QO7_C_D,6BB0_A_B,6ZZR_EEE_GGG,6ZZR_AAA_BBB,6ZZR_FFF_HHH,6ZZR_CCC_DDD,2LDX_B_D,2LDX_A_C,5NQB_A_B,5NQB_C_D,6P6U_F_G,4AJ4_A_B,6P6U_B_C,5NQQ_C_D,6P6U_N_O,6P6U_M_P,4AJ4_C_D,9LDB_A_B,6P6U_E_H,9LDT_A_B,5NQQ_A_B,6P6U_A_D,6P6U_J_K,6P6U_I_L,4L4R_A_H,4L4S_A_H,5ZJF_E_F,5ZJF_G_H,5ZJD_G_H,5ZJE_C_D,5ZJF_C_D,5ZJF_K_L,5ZJE_I_J,5ZJE_G_H,5ZJD_C_D,5ZJD_E_F,5ZJE_A_B,5ZJE_K_L,5ZJD_A_B,5ZJE_E_F,5ZJF_A_B,5ZJF_I_J
5W8J_A_B	DMS	MLA	 4QT0_A_B	6SBV_A_B,6SBU_A_B,6SBV_G_H,6SBU_C_D,6SBV_C_D,6SBU_E_F,6SBU_G_H,6SBV_E_F,6K13_A_B,1I0Z_A_B,1T2F_C_D,1T2F_A_B,5YTA_A_B,6CEP_C_D,5LDH_A_B,6CEP_A_B,5K0Z_C_D,5K0Z_A_B,4QT0_A_B,4OJN_C_D,4QT0_E_F,4OJN_G_H,4OKN_E_F,4QSM_A_B,4QSM_C_D,4QSM_E_F,4OKN_C_D,4OJN_A_B,4OKN_A_B,4AJP_C_D,4OJN_E_F,4OKN_G_H,4QSM_G_H,4QT0_C_D,4AJP_A_B,4QT0_G_H,6K12_D_E,5W8H_C_D,6MVA_A_B,6MV8_C_D,5W8L_A_C,5W8I_A_B,6Q0D_A_B,6Q13_A_C,6Q0D_C_D,4ZVV_C_D,6MVA_C_D,5W8H_A_B,6K12_B_C,6MV8_A_B,5W8K_C_D,5W8J_C_D,4ZVV_A_B,5W8K_A_B,5W8I_C_D,6BB1_G_H,6BB3_C_D,4I9N_F_H,4AJ2_A_B,6BB2_G_H,6BB2_C_D,6BB3_A_B,5ES3_E_H,4AJI_A_B,1I10_A_B,4I9N_E_G,4AJK_A_B,5ES3_B_C,6BAX_C_D,4I9N_A_C,1I10_G_H,4I8X_B_D,4AJ2_C_D,4AJO_C_D,4AJO_A_B,5KKC_A_C,4AJE_C_D,6BB1_E_F,4R69_A_B,3H3F_C_D,4QO8_C_D,4AJJ_C_D,6BB2_A_B,4RLS_C_D,4I9H_A_C,5ES3_A_D,4AJI_C_D,4M49_A_B,4AJK_C_D,4JNK_C_D,4R69_C_D,4AJL_A_B,4I8X_A_C,6BB1_C_D,4AJH_C_D,6BB0_C_D,4RLS_A_B,4AL4_A_B,4R68_A_B,4QO8_A_B,4AJL_C_D,4I9H_F_H,5IXS_C_D,4I9H_E_G,4M49_C_D,4QO7_A_B,4I9U_B_D,6BAZ_C_D,6BAX_A_B,4I8X_E_G,4AJN_A_B,4I9U_F_H,4JNK_A_B,5IXS_A_B,3H3F_A_B,4I9U_E_G,4I9N_B_D,3H3F_E_F,4AJH_A_B,4AL4_C_D,5IXY_A_B,6BAD_C_D,4AJE_A_B,3H3F_G_H,4R68_C_D,6BAD_A_B,6BAZ_A_B,4I9U_A_C,4I9H_B_D,5IXY_C_D,4AJJ_A_B,4AJ1_C_D,4AJN_C_D,6BAG_A_B,6BB2_E_F,1I10_C_D,4AJ1_A_B,6BAG_C_D,6BB1_A_B,5KKC_B_D,4I8X_F_H,5ES3_F_G,1I10_E_F,4QO7_C_D,6BB0_A_B,6ZZR_EEE_GGG,6ZZR_AAA_BBB,6ZZR_FFF_HHH,6ZZR_CCC_DDD,2LDX_B_D,2LDX_A_C,5NQB_A_B,5NQB_C_D,6P6U_F_G,4AJ4_A_B,6P6U_B_C,5NQQ_C_D,6P6U_N_O,6P6U_M_P,4AJ4_C_D,9LDB_A_B,6P6U_E_H,9LDT_A_B,5NQQ_A_B,6P6U_A_D,6P6U_J_K,6P6U_I_L,4L4R_A_H,4L4S_A_H,5ZJF_E_F,5ZJF_G_H,5ZJD_G_H,5ZJE_C_D,5ZJF_C_D,5ZJF_K_L,5ZJE_I_J,5ZJE_G_H,5ZJD_C_D,5ZJD_E_F,5ZJE_A_B,5ZJE_K_L,5ZJD_A_B,5ZJE_E_F,5ZJF_A_B,5ZJF_I_J
4DFR_A_B	MTX		 1RD7_A_B	5UIO_B_C,4QLG_A_B,1DDR_A_B,4QLE_A_B,1DYJ_A_B,5E8Q_A_B,1DRA_A_B,3DRC_A_B,1TDR_A_B,1DHJ_A_B,1DRB_A_B,1DYH_A_B,5UJX_A_B,1RB3_A_B,1DDS_A_B,1RD7_A_B,1RB2_A_B,1RE7_A_B,2DRC_A_B,3OCH_A_B,1DYI_A_B,1DHI_A_B,1JOL_A_B,5EAJ_A_B
5E8Q_A_B		IPA	 1RD7_A_B	5UIO_B_C,4QLG_A_B,1DDR_A_B,4DFR_A_B,4QLE_A_B,1DYJ_A_B,1DRA_A_B,3DRC_A_B,1TDR_A_B,1DHJ_A_B,1DRB_A_B,1DYH_A_B,5UJX_A_B,1RB3_A_B,1DDS_A_B,1RD7_A_B,1RB2_A_B,1RE7_A_B,2DRC_A_B,3OCH_A_B,1DYI_A_B,1DHI_A_B,1JOL_A_B,5EAJ_A_B
6ADH_A_B	DMS		 3HUD_A_B	2DPH_A_B,4JLW_A_B,4JLW_C_D,4UEK_A_B,4UEO_A_B,4UEJ_A_B,4A2C_A_B,6DKH_A_D,6DKH_B_C,2DQ4_A_B,2EJV_A_B,3GFB_C_D,3GFB_A_B,1NTO_C_D,3I4C_C_D,1R37_A_B,2EER_A_B,1NTO_A_B,3I4C_A_B,4JBI_J_M,4JBI_C_D,4JBI_A_F,4JBI_E_K,4JBI_I_O,4JBI_G_N,4JBI_H_P,4JBI_B_L,3WNQ_A_B,3WNQ_C_D,3WLE_B_C,3WLF_B_C,3WLF_A_D,3WLE_A_D,4C4O_A_B,4C4O_C_D,4CPD_B_C,4CPD_A_D,5YLN_C_D,5YLN_A_B,4RQU_A_B,1AGN_C_D,1D1S_A_B,1D1T_A_B,1D1S_C_D,1D1T_C_D,1AGN_A_B,1EE2_A_B,6OWP_A_B,5CDT_A_B,1MC5_A_B,1HSO_A_B,1MG0_C_D,1U3V_A_B,5KJ6_A_B,1ADC_A_B,7JQA_A_B,1AXE_A_B,4XD2_A_B,7JQA_C_D,1AXG_A_B,2JHF_A_B,1ADB_A_B,1HDZ_A_B,1HLD_A_B,5KJC_A_B,1P1R_A_B,1N92_A_B,3QJ5_A_B,1HEU_A_B,1HF3_A_B,2JHG_A_B,5KJ1_A_B,1N8K_A_B,7K35_A_B,3BTO_A_D,1LDE_A_D,1MGO_A_B,1P1R_C_D,2OHX_A_B,1LDY_A_D,3OQ6_A_B,1QV6_A_B,5KCP_A_B,4DXH_A_B,6NBB_A_B,6O91_A_B,1BTO_A_D,1HET_A_B,5VN1_C_D,3HUD_A_B,5VN1_A_B,7K35_C_D,1JU9_A_B,1HDY_A_B,2OXI_A_B,1DEH_A_B,1HSZ_A_B,6CXX_A_B,5VJ5_A_B,4NFH_A_B,5CDU_A_B,1HDX_A_B,1U3W_A_B,5VL0_C_D,5KJF_A_B,1HTB_A_B,4NG5_A_B,6OA7_A_B,5CDS_A_B,1A71_A_B,4NFS_A_B,1LDY_B_C,1U3T_A_B,1BTO_B_C,6XT2_A_B,5VL0_A_B,1HT0_A_B,5CDG_A_B,1AXG_C_D,1U3U_A_B,1MG0_A_B,4DWV_A_B,6OWM_A_B,5KJE_A_B,3BTO_B_C,5KCZ_A_B,1QV7_A_B,6XT2_C_D,1CDO_A_B,4JJI_A_B,3UKO_A_B,4L0Q_A_B,4GL4_A_B,7AAS_D_E,7AV7_A_F,7AAU_D_E,7AV7_D_E,7AAS_B_C,7AAS_A_F,7AAU_B_C,7AV7_B_C,7AAU_A_F,1MP0_A_B,1M6W_A_B,2FZW_A_B,1M6H_A_B,1MA0_A_B,2FZE_A_B,4DL9_A_B,4DLB_A_B,4DLA_A_B,1E3I_A_B,1E3L_A_B,1E3E_A_B,3COS_C_D,3COS_A_B
1EE2_A_B	CHD	CHD	 3HUD_A_B	2DPH_A_B,4JLW_A_B,4JLW_C_D,4UEK_A_B,4UEO_A_B,4UEJ_A_B,4A2C_A_B,6DKH_A_D,6DKH_B_C,2DQ4_A_B,2EJV_A_B,3GFB_C_D,3GFB_A_B,1NTO_C_D,3I4C_C_D,1R37_A_B,2EER_A_B,1NTO_A_B,3I4C_A_B,4JBI_J_M,4JBI_C_D,4JBI_A_F,4JBI_E_K,4JBI_I_O,4JBI_G_N,4JBI_H_P,4JBI_B_L,3WNQ_A_B,3WNQ_C_D,3WLE_B_C,3WLF_B_C,3WLF_A_D,3WLE_A_D,4C4O_A_B,4C4O_C_D,4CPD_B_C,4CPD_A_D,5YLN_C_D,5YLN_A_B,4RQU_A_B,1AGN_C_D,1D1S_A_B,1D1T_A_B,1D1S_C_D,1D1T_C_D,1AGN_A_B,6OWP_A_B,5CDT_A_B,1MC5_A_B,1HSO_A_B,1MG0_C_D,1U3V_A_B,5KJ6_A_B,1ADC_A_B,7JQA_A_B,1AXE_A_B,4XD2_A_B,7JQA_C_D,1AXG_A_B,2JHF_A_B,1ADB_A_B,1HDZ_A_B,1HLD_A_B,5KJC_A_B,1P1R_A_B,1N92_A_B,3QJ5_A_B,1HEU_A_B,1HF3_A_B,2JHG_A_B,5KJ1_A_B,1N8K_A_B,7K35_A_B,3BTO_A_D,1LDE_A_D,1MGO_A_B,1P1R_C_D,2OHX_A_B,1LDY_A_D,3OQ6_A_B,1QV6_A_B,5KCP_A_B,4DXH_A_B,6NBB_A_B,6O91_A_B,1BTO_A_D,1HET_A_B,5VN1_C_D,3HUD_A_B,5VN1_A_B,7K35_C_D,1JU9_A_B,1HDY_A_B,2OXI_A_B,1DEH_A_B,1HSZ_A_B,6CXX_A_B,5VJ5_A_B,4NFH_A_B,5CDU_A_B,1HDX_A_B,1U3W_A_B,5VL0_C_D,5KJF_A_B,1HTB_A_B,4NG5_A_B,6OA7_A_B,5CDS_A_B,1A71_A_B,4NFS_A_B,1LDY_B_C,1U3T_A_B,1BTO_B_C,6XT2_A_B,5VL0_A_B,1HT0_A_B,5CDG_A_B,1AXG_C_D,1U3U_A_B,1MG0_A_B,4DWV_A_B,6OWM_A_B,5KJE_A_B,3BTO_B_C,6ADH_A_B,5KCZ_A_B,1QV7_A_B,6XT2_C_D,1CDO_A_B,4JJI_A_B,3UKO_A_B,4L0Q_A_B,4GL4_A_B,7AAS_D_E,7AV7_A_F,7AAU_D_E,7AV7_D_E,7AAS_B_C,7AAS_A_F,7AAU_B_C,7AV7_B_C,7AAU_A_F,1MP0_A_B,1M6W_A_B,2FZW_A_B,1M6H_A_B,1MA0_A_B,2FZE_A_B,4DL9_A_B,4DLB_A_B,4DLA_A_B,1E3I_A_B,1E3L_A_B,1E3E_A_B,3COS_C_D,3COS_A_B
4DLB_A_B		GOL	 3HUD_A_B	2DPH_A_B,4JLW_A_B,4JLW_C_D,4UEK_A_B,4UEO_A_B,4UEJ_A_B,4A2C_A_B,6DKH_A_D,6DKH_B_C,2DQ4_A_B,2EJV_A_B,3GFB_C_D,3GFB_A_B,1NTO_C_D,3I4C_C_D,1R37_A_B,2EER_A_B,1NTO_A_B,3I4C_A_B,4JBI_J_M,4JBI_C_D,4JBI_A_F,4JBI_E_K,4JBI_I_O,4JBI_G_N,4JBI_H_P,4JBI_B_L,3WNQ_A_B,3WNQ_C_D,3WLE_B_C,3WLF_B_C,3WLF_A_D,3WLE_A_D,4C4O_A_B,4C4O_C_D,4CPD_B_C,4CPD_A_D,5YLN_C_D,5YLN_A_B,4RQU_A_B,1AGN_C_D,1D1S_A_B,1D1T_A_B,1D1S_C_D,1D1T_C_D,1AGN_A_B,1EE2_A_B,6OWP_A_B,5CDT_A_B,1MC5_A_B,1HSO_A_B,1MG0_C_D,1U3V_A_B,5KJ6_A_B,1ADC_A_B,7JQA_A_B,1AXE_A_B,4XD2_A_B,7JQA_C_D,1AXG_A_B,2JHF_A_B,1ADB_A_B,1HDZ_A_B,1HLD_A_B,5KJC_A_B,1P1R_A_B,1N92_A_B,3QJ5_A_B,1HEU_A_B,1HF3_A_B,2JHG_A_B,5KJ1_A_B,1N8K_A_B,7K35_A_B,3BTO_A_D,1LDE_A_D,1MGO_A_B,1P1R_C_D,2OHX_A_B,1LDY_A_D,3OQ6_A_B,1QV6_A_B,5KCP_A_B,4DXH_A_B,6NBB_A_B,6O91_A_B,1BTO_A_D,1HET_A_B,5VN1_C_D,3HUD_A_B,5VN1_A_B,7K35_C_D,1JU9_A_B,1HDY_A_B,2OXI_A_B,1DEH_A_B,1HSZ_A_B,6CXX_A_B,5VJ5_A_B,4NFH_A_B,5CDU_A_B,1HDX_A_B,1U3W_A_B,5VL0_C_D,5KJF_A_B,1HTB_A_B,4NG5_A_B,6OA7_A_B,5CDS_A_B,1A71_A_B,4NFS_A_B,1LDY_B_C,1U3T_A_B,1BTO_B_C,6XT2_A_B,5VL0_A_B,1HT0_A_B,5CDG_A_B,1AXG_C_D,1U3U_A_B,1MG0_A_B,4DWV_A_B,6OWM_A_B,5KJE_A_B,3BTO_B_C,6ADH_A_B,5KCZ_A_B,1QV7_A_B,6XT2_C_D,1CDO_A_B,4JJI_A_B,3UKO_A_B,4L0Q_A_B,4GL4_A_B,7AAS_D_E,7AV7_A_F,7AAU_D_E,7AV7_D_E,7AAS_B_C,7AAS_A_F,7AAU_B_C,7AV7_B_C,7AAU_A_F,1MP0_A_B,1M6W_A_B,2FZW_A_B,1M6H_A_B,1MA0_A_B,2FZE_A_B,4DL9_A_B,4DLA_A_B,1E3I_A_B,1E3L_A_B,1E3E_A_B,3COS_C_D,3COS_A_B
5APR_E_I	DHL		 2ER0_E_I	2R9B_A_C,2R9B_B_D,2ER0_E_I,2ER9_E_I,1OEX_A_B,2ER7_E_I,1GVU_A_I,4ER4_E_I,3URL_A_B,4LP9_A_I
1FCB_A_B		PYR	 1SZE_A_B	1LCO_A_B,1LDC_A_B,2OZ0_A_B,1LTD_A_B,1SZG_A_B,1KBI_A_B,1KBJ_A_B,1QCW_A_B,1SZE_A_B,1SZF_A_B
